instancia,semilla,generacion,alpha,beta,pop_size,clon_size,porc_afinidad,porc_clones,porc_reemplazo,fo1,fo2,aptitud
Mandl,1,1,1.01,-0.01,200,200,1,0.25,0.3,13.1818,76,1.25077,6-8,3-2-1,13-14,15-8-6-4-12,11-13-10-7-15-9,5-4-2-3-6
Mandl,1,1,1.01,-0.01,200,200,1,0.25,0.3,12.4399,81,1.26874,6-8-10,3-2-1,13-14,15-8-6-4-12,11-13-10-7-15-9,5-4-2-3
Mandl,1,1,1.01,-0.01,200,200,1,0.25,0.3,11.833,84,1.27305,14-13-10,10-8-6,13-11-12,1-2-3-6-8,9-15-8-6,2-5-4-6-8-15-7
Mandl,1,1,1.01,-0.01,200,200,1,0.25,0.3,11.7142,87,1.29687,14-13-10-11,10-8-6,13-11-12,1-2-3-6-8,9-15-8,2-5-4-6-8-15-7
Mandl,1,1,1.01,-0.01,200,200,1,0.25,0.3,11.6821,92,1.3432,14-13-10-11,10-8-6-3,13-11-12,1-2-3-6-8,9-15-8-6,2-5-4-6-8-15-7
Mandl,1,1,1.01,-0.01,200,200,1,0.25,0.3,11.5857,95,1.36792,10-7-15,9-15-6,13-10-8-6-4-2-5,8-6-3-2-1,11-12,12-11-13-14
Mandl,1,1,1.01,-0.01,200,200,1,0.25,0.3,11.4926,97,1.38325,14-13-10-11,10-8-6,13-11-12,1-2-3-6-8-10,9-15-8-6,2-5-4-6-8-15-7
Mandl,1,1,1.01,-0.01,200,200,1,0.25,0.3,11.4477,106,1.46716,10-7-15-6,9-15-6,13-10-8-6-4-2,8-6-3-2-1,11-12-4-5,12-11-13-14
Mandl,1,1,1.01,-0.01,200,200,1,0.25,0.3,11.422,111,1.51376,10-7-15-9,9-15-6,13-10-8-6-4-2,8-6-3-2-1,11-12-4-5,12-11-13-14
Mandl,1,1,1.01,-0.01,200,200,1,0.25,0.3,11.3738,112,1.52135,7-15-6-3-2-1,11-12-4-5-2-3-6-8,14-13-11,2-5-4-6-8-10,2-3-6-15-9,12-11
Mandl,1,1,1.01,-0.01,200,200,1,0.25,0.3,11.3256,113,1.52895,3-2-5-4-6-8-10,9-15-6-3,1-2-3-6,15-7,14-10-11-12-4,3-6-15-7-10-14-13
Mandl,1,1,1.01,-0.01,200,200,1,0.25,0.3,11.3064,122,1.6139,3-2-5-4-6-8-10,9-15-6-3,1-2-3-6,15-7,14-10-11-12-4-6,3-6-15-7-10-14-13-11
Mandl,1,1,1.01,-0.01,200,200,1,0.25,0.3,11.194,124,1.62845,7-15-6-3-2-1,11-12-4-5-2-3-6-8,14-13-11,2-5-4-6-8-10-7,2-3-6-15-9,12-11-13
Mandl,1,1,1.01,-0.01,200,200,1,0.25,0.3,11.1586,127,1.65561,7-15-6-3-2-1,11-12-4-5-2-3-6,14-13-11-10-7,2-5-4-6-8-10,2-3-6-15-9,12-11-10
